Well,Plate,tags,Nuclei Big,Nuclei MAP2 Tot,Nuclei SNCA MAP2 Tot,Nuclei SNCA Tot,Nuclei Tot,Nuclei dead,avg intensity LAMP2,avg intensity LAMP2 SNCA SNCA,avg intensity LAMP2 SNCA_LMAP2,avg intensity MAP2,avg intensity SNCA,avg intensity SNCA wo nuclei,avg_intensity_LAMP2_MAP2_Q1,avg_intensity_LAMP2_MAP2_Q2,avg_intensity_LAMP2_MAP2_Q3,avg_intensity_LAMP2_MAP2_SNCA_Q1,avg_intensity_LAMP2_MAP2_SNCA_Q2,avg_intensity_LAMP2_MAP2_SNCA_Q3,avg_nuclei_area,avg_segments_per_branch,avg_segments_per_neurite,compos_LAMP2_MAP2,compos_LAMP2_MAP2_SNCA,compos_LAMP2_MAP2_SNCA_per_nuclei,compos_LAMP2_MAP2_per_nuclei,end points per nuclei,ratio_compos_lamp2_snca_over_map2,ratio_nuclei_MAP2,ratio_nuclei_SNCA,ratio_nuclei_SNCA_MAP2,ratio_surface_LAMP2_SNCA_LAMP2,ratio_surface_LAMP2_SNCA_SNCA,skelet_length_map2,skelet_length_map2_per_nuclei,start points per nuclei,sum intensity LAMP2 SNCA LAMP2,sum intensity LAMP2 SNCA SNCA,sum intensity per nuclei SNCA,sum_intensity_LAMP2_per_nuclei,surface LAMP2,surface LAMP2 SNCA,surface MAP2,surface SNCA,surface SNCA wo nuclei,surface SNCA_tubulin wo nuclei,surface_LAMP2_MAP2_Q1,surface_LAMP2_MAP2_Q2,surface_LAMP2_MAP2_Q3,surface_LAMP2_MAP2_SNCA_Q1,surface_LAMP2_MAP2_SNCA_Q2,surface_LAMP2_MAP2_SNCA_Q3,surface_LAMP2_SNCA_per_nuclei,surface_LAMP2_per_nuclei,surface_MAP2_per_nuclei,surface_SNCA_MAP2_per_nuclei,surface_SNCA_per_nuclei,surface_SNCA_wo_nuclei_per_nuclei
E06,SNCA-Mat65-x60-map2-snca-lamp-p2-MP-AV,LRRK2 WT;PEP005,0.0,158.0,113.0,115.0,226.0,37.0,481.772,808.079,504.627,626.643,452.039,177.907,270.667,288.0,333.25,272.667,293.0,345.533,2759.74,4.6135,90.4304,63056.0,50747.0,449.088,399.089,91.038,0.804793,0.699115,0.50885,0.5,0.647981,0.0574233,398786.0,2523.96,19.6013,3723540.0,5962640.0,58086100.0,2791600.0,1309550.0,848561.0,22611400.0,14777300.0,5121080.0,3989010.0,5.0,11.0,25.0,6.0,13.0,29.0,7509.39,8288.27,143110.0,15508.0,128498.0,44531.1
D04,SNCA-Mat65-x60-map2-snca-lamp-p2-MP-AV,LRRK2 WT;PEP005,0.0,140.0,119.0,121.0,194.0,32.0,489.799,997.299,493.312,583.365,489.477,174.836,270.75,289.833,345.737,272.25,294.0,356.966,2706.19,4.19933,80.3571,54767.0,47208.0,396.706,391.193,83.2214,0.861979,0.721649,0.623711,0.613402,0.686575,0.0644937,332598.0,2375.7,19.1357,3723380.0,7527330.0,57283700.0,3358380.0,1330190.0,913274.0,19405100.0,14160700.0,5330880.0,4304240.0,5.0,12.0,28.0,5.0,14.0,32.0,7674.57,9501.35,138608.0,14876.4,117030.0,44056.8
J03,SNCA-Mat65-x60-map2-snca-lamp-p2-MP-AV,DMSO;LRRK2 WT,0.0,171.0,126.0,129.0,220.0,32.0,518.759,1087.92,555.328,581.266,510.679,217.559,271.167,291.625,350.8,273.333,297.75,366.333,2963.62,4.1246,53.2339,45468.0,36802.0,292.079,265.895,58.4386,0.809404,0.777273,0.586364,0.572727,0.622335,0.0653411,249964.0,1461.78,12.9064,3109780.0,6092260.0,43766600.0,2737090.0,1160770.0,722388.0,16946900.0,11055700.0,3527340.0,2830590.0,5.0,12.0,29.0,6.0,15.0,34.0,5733.24,6788.13,99104.6,12690.6,85702.7,27343.7
F06,SNCA-Mat65-x60-map2-snca-lamp-p2-MP-AV,LRRK2 WT;PEP005,0.0,177.0,125.0,132.0,244.0,55.0,530.447,618.977,553.385,636.597,413.252,184.32,270.333,286.964,330.889,272.333,291.455,340.789,2898.4,4.54063,72.9322,63542.0,52182.0,417.456,358.994,79.1921,0.821221,0.72541,0.540984,0.512295,0.587289,0.0571805,365963.0,2067.59,16.0621,3519080.0,3936190.0,45958700.0,3107250.0,1429300.0,839412.0,22148300.0,14680000.0,5204600.0,4021520.0,5.0,11.0,25.0,5.0,13.0,28.0,6715.3,8075.14,125132.0,15356.3,111212.0,39428.8
J07,SNCA-Mat65-x60-map2-snca-lamp-p2-MP-AV,DMSO;LRRK2 Mut,0.0,184.0,140.0,142.0,304.0,105.0,499.017,689.692,513.106,688.308,449.042,177.029,272.0,293.571,345.333,273.941,298.833,355.5,2677.99,4.3085,68.8424,56873.0,48411.0,345.793,309.092,77.6793,0.851212,0.605263,0.467105,0.460526,0.636194,0.0643172,324934.0,1765.95,15.9783,3129490.0,4206510.0,42582000.0,2234640.0,1361340.0,866074.0,16650400.0,13465700.0,4335740.0,2472220.0,5.0,13.0,28.0,6.0,15.0,30.0,6186.24,7398.57,90491.3,12278.0,94828.6,30533.4
D07,SNCA-Mat65-x60-map2-snca-lamp-p2-MP-AV,LRRK2 Mut;PEP005,0.0,144.0,107.0,107.0,192.0,33.0,444.271,949.068,466.032,701.093,478.103,187.496,269.0,284.833,331.7,271.0,289.857,344.065,2402.29,4.09383,82.4167,72231.0,59412.0,555.252,501.604,90.5694,0.822528,0.75,0.557292,0.557292,0.649427,0.0808169,302105.0,2097.95,20.1319,4467260.0,9097530.0,56708100.0,3654480.0,1579350.0,1025680.0,18057500.0,12691300.0,3250340.0,2199830.0,4.0,12.0,27.0,6.0,15.0,31.0,9585.75,10967.7,125399.0,17742.7,118611.0,30377.0
N06,SNCA-Mat65-x60-map2-snca-lamp-p2-MP-AV,LRRK2 WT;Prostratine,0.0,194.0,155.0,161.0,273.0,54.0,446.106,847.142,459.073,580.319,423.863,210.812,265.5,275.417,299.075,266.333,276.8,303.308,2771.06,4.15214,48.1134,68270.0,59733.0,385.374,351.907,56.0412,0.874952,0.710623,0.589744,0.567766,0.690121,0.0700465,251158.0,1294.63,11.5876,2720550.0,5020330.0,35860400.0,2259190.0,1382540.0,954117.0,16216700.0,13621200.0,4351080.0,2758620.0,3.0,10.0,24.0,4.0,11.0,26.0,6155.59,7126.47,83591.0,15289.6,84603.7,27025.3
G07,SNCA-Mat65-x60-map2-snca-lamp-p2-MP-AV,DMSO;LRRK2 Mut,1.0,233.0,154.0,155.0,356.0,72.0,413.716,643.562,416.884,703.374,431.794,158.016,271.5,291.375,342.0,274.0,298.0,354.478,2739.4,4.40311,46.2232,54480.0,43644.0,283.403,233.82,50.9914,0.801101,0.654494,0.435393,0.432584,0.599186,0.05449,281452.0,1207.95,10.4979,1875270.0,2894940.0,35645800.0,1352290.0,1163640.0,697237.0,19099400.0,12795700.0,3077350.0,1969090.0,5.0,12.0,25.0,6.0,14.0,29.0,4527.51,4994.16,81971.6,10889.2,82552.8,19853.9
C08,SNCA-Mat65-x60-map2-snca-lamp-p2-MP-AV,LRRK2 Mut;PEP005,1.0,254.0,124.0,128.0,405.0,67.0,400.184,616.199,395.78,554.328,382.602,188.23,269.25,283.5,319.76,271.571,289.182,332.579,2835.19,4.49426,40.0591,59752.0,44399.0,358.056,235.244,49.2717,0.743055,0.62716,0.316049,0.306173,0.507634,0.0575325,244802.0,963.787,8.91339,1937490.0,3016520.0,32555100.0,1219690.0,1234370.0,626606.0,17329000.0,10891300.0,2815460.0,1673620.0,4.0,11.0,24.0,5.0,14.0,29.0,5053.27,4859.71,68224.5,15588.4,85088.7,21995.8
F07,SNCA-Mat65-x60-map2-snca-lamp-p2-MP-AV,LRRK2 Mut;PEP005,0.0,151.0,113.0,115.0,241.0,56.0,506.333,641.958,559.222,667.266,418.942,182.806,271.778,292.6,346.773,274.4,300.111,360.933,2370.48,4.18795,84.2583,55629.0,44470.0,393.54,368.404,96.9272,0.799403,0.626556,0.477178,0.46888,0.60043,0.0621938,313706.0,2077.52,20.1192,3632040.0,4169400.0,43749600.0,2613490.0,1243950.0,746903.0,18052700.0,12009300.0,3247950.0,2165670.0,5.0,12.0,27.0,6.0,15.0,30.0,6609.76,8238.06,119554.0,12877.8,104429.0,28243.0
